act_id,name_m,name_o,name_a,act_birthday,constel,blood_type,height,weight,BWH,homeplace,job,hobby
94,愛沢えみり,Emiri Aizawa,,1988-09-01,处女座,B,164,0,B75 W57 H81,日本 神奈川县横滨市,模特、歌舞伎,购物、睡觉
95,手塚せいあ,Seia Tezuka,,1996-07-31,狮子座,,152,0,,日本 北海道,偶像、歌手,钢琴、卡拉OK
96,内山愛,"内山爱 , Ai Uchiyama",,1999-02-22,双鱼座,,0,0,,日本 东京都,演员、模特,
97,逢坂愛,"逢坂爱 , Megumi Aisaka", 逢坂さん ,1992-05-06,金牛座,A,150,0,B82(E) W54 H80,日本 宫城县,写真偶像,购物、游戏、动画、上网、篮球
98,来栖のぞみ,"来栖望 , Nozomi Kurusu",,0000-00-00,,B,152,0,B93(H) W63 H87,日本 千叶县,写真偶像,角色扮演、长笛、购物
99,西堀智美,Satomi Nishibori,,1997-08-28,处女座,,153,0,B91(G) W60 H88,日本 爱知县丰明市,写真偶像,料理、卡拉OK、排球
100,スミス楓,Smith Kaede,,1993-09-29,天秤座,A,159,0,B86 W58 H84,日本 神奈川县,模特,看电影
101,瀬戸ういか,Uika Seto,,1994-01-02,魔羯座,AB,161,0,B81 W59 H83,日本 香川县,赛车女郎,购物、芭蕾、跳舞
102,奥津マリリ,Mariri Okutsu,,1995-07-11,巨蟹座,O,149,0,B81 W57 H82,日本 神奈川县,艺人、写真偶像,
103,久保エイミー,"久保艾米 , Kubo Amy",,1990-09-10,处女座,A,166,0,B80 W60 H89,日本 长崎县,模特、赛车女郎,电影、读书、美甲、篮球、跑步
104,夏芽えれな,Erena Natsume,,1985-03-08,双鱼座,,165,0,B90(G) W60 H88,日本 神奈川县,模特、写真偶像,
105,真縞しまりす,"真缟花栗鼠 , Shimarimasi",,1995-10-08,天秤座,AB,154,0,,日本 东京都,Coser,角色扮演
106,雛菊つばさ,"雏菊翼 , Tsubasa Hinagiku",,1996-11-30,射手座,,150,0,B91(G) W54 H85,日本 东京都,艾薇女优,
107,島崎奈生,"岛崎奈生 , Nao Shimazaki",,1996-10-06,天秤座,AB,155,0,B93(H) W64 H87,日本 神奈川县,写真偶像,
108,村川絵梨,"村川绘梨 , Eri Murakawa",,1987-10-04,天秤座,A,163,0,,日本 大阪府旭区,演员,饺子、饼干
109,小林未来,Miki Kobayashi,,1988-01-10,魔羯座,B,163,0,B80 W60 H85,日本 秋田县,模特、赛车女郎,剑道初段
110,森ちあき,Chiaki Mori,,1993-09-23,天秤座,B,156,0,B87(F) W58 H88,日本 东京都,写真偶像,芭蕾
111,凰かなめ,"凰香奈芽 , Kaname Ootori",,1995-11-15,天蝎座,O,165,0,B83(C) W58 H81,日本 秋田县,艾薇女优,收集可爱的东西
112,森田ワカナ,Morita Wakana,,1995-02-19,双鱼座,A,164,0,B80 W60 H87,日本 东京都,模特,素描、日式糕点
113,白倉有紗,"白仓有纱 , Arisa Shirakura",,1992-03-23,白羊座,B,172,0,B87 W59 H88,日本 东京都,模特、车模,
114,飛鳥凛,"飞鸟凛 , Rin Asuka",,1991-03-28,白羊座,A,166,0,,日本 大阪府,演员,电影、听音乐
115,伊藤ゆみ,"伊藤由美 , Yumi Ito", ICONIQ 李亚由美 ,1984-08-25,处女座,,163,0,B85(F) W60 H89,日本 鸟取县,歌手、演员、作词,骑马、绘画
116,藍田愛,"蓝田爱 , Ai Aida",,1990-03-30,白羊座,A,168,0,B84(C) W59 H84,日本 爱知县,模特、赛车女郎、讲师,游泳
117,織田梨沙,"织田梨沙 , Risa Oda",,1995-11-12,天蝎座,O,162,0,B77 W59 H81,日本 千叶县,演员、模特,舞蹈、骑马、外语
118,村川杏寿,Anju Murakawa,,1995-06-03,双子座,A,158,0,B82(H) W58 H88,日本 兵库县,写真偶像,游泳、绘画
119,佐倉ねね,"佐仓宁宁 , Nene Sakura",,1996-11-11,天蝎座,,155,0,B95(H) W58 H88,,艾薇女优,读书
120,緒方友莉奈,"绪方友莉奈 , Yurina Ogata",,1993-08-30,处女座,O,171,0,B85(C) W58 H86,日本 福冈县,模特,料理、锻炼、绘画
121,瀧内公美,"泷内公美 , Kumi Takiuchi",,1989-10-21,天秤座,AB,166,0,B83 W62 H89,日本 富山县,演员,
122,佐野マリア,Maria Sano,,1991-03-18,双鱼座,A,168,0,B93 W62 H92,日本 鸟取县境港市,模特,生鱼片、刺身、料理
123,豊田真希,"丰田真希 , Maki Toyota ",,1996-11-30,射手座,O,165,0,,日本 千叶县,模特,散步、卡拉OK、羽毛球
124,土生瑞穂,Mizuho Habu,,1997-07-07,巨蟹座,A,171,0,,日本 东京都,偶像,看漫画
125,堀みづき,Mizuki Hori,,1993-02-07,水瓶座,O,163,0,,日本 山形县,模特、演员,美容、化妆、研究时装
126,祝茉莉,Syuku Mari,,0000-00-00,,,162,0,,日本 新潟县,偶像,电影
127,橋本愛花,"桥本爱花 , Aika Hashimoto",,1992-11-21,天蝎座,,164,0,B83 W57 H86,日本 福冈县,模特,读书、柔道
128,佐藤詩織,"佐藤诗织 , Shiori Satou",,1996-11-16,天蝎座,A,162,0,,日本 东京都,偶像、歌手,芭蕾、绘画、书道
129,水沢まい,"水泽舞 , Mai Mizusawa",,1991-05-02,金牛座,,167,0,B85(G) W55 H83,日本 大阪府,演员、模特,散步、音乐、舞蹈、保龄球、腹语术
130,八木莉可子,Rikaco Yagi,,2001-07-07,巨蟹座,A,169,0,B79 W64 H83,日本 滋贺县,模特、演员,读书、音乐、书道
131,蛯原メイ,"蛯原芽衣 , Mei Ebihara",,1996-01-24,水瓶座,A,173,0,B81 W59 H86,日本 千叶县,模特、赛车女郎,卡拉OK、画画
132,朝倉ゆり,"朝仓由里 , Yuri Asakura",,1993-11-02,天蝎座,A,157,0,,日本 秋田县,歌手,唱歌、踊舞、睡觉
133,鈴本美愉,"铃本美愉 , Miyu Suzumoto",,1997-12-05,射手座,AB,155,0,,日本 爱知县,偶像、歌手,料理、日式糕点
134,守屋茜,Moriya Akane,,1997-11-12,天蝎座,A,163,0,,日本 宫城县,偶像、歌手,野球、运动
135,璃乃,Rino,,1993-06-24,巨蟹座,A,162,0,B86 W60 H90,日本 群马县,模特、演员,购物、日式糕点
136,渡邉理佐,"渡边理佐 , Rika Watanabe",,1998-07-27,狮子座,O,163,0,,日本 茨城县,偶像、歌手,购物、睡午觉
137,葉月佐和,"叶月佐和 , Sawa Hazuki",,1992-08-14,狮子座,A,163,0,B88(G) W60 H90,日本 大阪府,歌手、模特,游戏、刷牙、料理
138,米谷奈々未,"米谷奈奈未 , Nanami Yoneya",,2000-02-24,双鱼座,B,157,0,,日本 大阪府,偶像,羽毛球、卡拉OK
139,長沢菜々香,"长泽菜菜香 , Nanako Wagasawa",,1997-04-23,金牛座,A,158,0,,日本 山形县,偶像,小提琴、料理
140,安藤咲桜,"安藤咲樱 , Sakura Andou",,2001-03-23,白羊座,,155,0,,日本 东京都,偶像、歌手,书道
141,三田ちとせ,"咲田朱里 , Akari Sakita",,1990-08-11,狮子座,,164,0,B90 W58 H84,日本 北海道,模特、舞台剧演员,照相、麻将、英语、马术、网球、游戏
142,小田さくら,"小田樱 , Sakura Oda",,1999-03-12,双鱼座,A,150,0,,日本 神奈川县座间市,歌手,
143,佐藤優樹,"佐藤优树 , Yuki Sato", まぁちゃん ,1999-05-07,金牛座,A,153,0,,日本 北海道,偶像歌手,钢琴、芭蕾、骑马
144,茅野愛衣,"茅野爱衣 , AI Kayano",,1987-09-13,处女座,O,153,0,,日本 东京都,声优、美容师,散步、咖啡馆
145,水瀬いのり,"水濑祈 , Inori Minase",,1995-12-02,射手座,B,154,0,B79(B) W57 H82,日本 东京都,演员、歌手、声优,动画、游戏、上网
146,日里麻美,Asami Hisato,,0000-00-00,,O,162,0,B88 W64 H86,日本 冈山县,演员、写真偶像,棒球
147,矢野優花,"矢野优花 , Yuuka Yano",,1998-01-06,魔羯座,A,157,0,,日本 宫崎县,演员,舞蹈、料理
148,綾瀬麗奈,"绫濑丽奈 , Reina Ayase", 坂口玲奈 ,1994-12-13,射手座,O,153,0,B88(G) W60 H83,日本 爱知县,偶像,日式糕点
149,長濱ねる,"长滨祢留 , Nagahama Neru", 长滨宁瑠 长滨宁琉 ,1998-09-04,处女座,O,157,0,,日本 长崎县,偶像、歌手,
150,原野愛弓,"原野爱弓 , Aimi Harano",,1995-07-05,巨蟹座,B,154,0,,日本 鹿儿岛县,模特,
151,松元千明,Chiaki Matsumoto,,1989-07-08,巨蟹座,AB,164,0,B93(G) W60 H87,日本 鹿儿岛县,写真偶像,角色扮演、戴假发
152,佐倉綾音,"佐仓绫音 , Ayane Sakura",,1994-01-29,水瓶座,B,157,0,,日本 东京都,声优、歌手,听收音机、绘画、唱歌
153,八武崎碧,"悠木碧 , Aoi Yuuki",,1992-03-27,白羊座,A,145,0,,日本 千叶县山武市,声优、歌手、演员,看书、绘画
154,木下綾菜,"木下绫菜 , Ayana Kinoshita",,1996-07-14,巨蟹座,A,161,42,B79 W58 H82,日本 埼玉县,演员、歌手、模特,爵士舞
155,傳谷英里香,"传谷英里香 , Erika Denya",,1995-11-02,天蝎座,B,157,0,B80 W53 H78,日本 千叶县,偶像、歌手,电影、音乐、钢琴、游泳
156,加藤葵,Aoi Kato,,1991-05-13,金牛座,,165,0,B80 W59 H85,日本 北海道,演员,料理
157,稲場愛香,"稻场爱香 , Manaka Inaba",,1997-12-27,魔羯座,B,0,0,,日本 北海道,偶像,音乐、电影、电视剧
158,原満莉菜,"原满莉菜 , Marina Hora",,0000-00-00,,,165,0,,日本 东京都,写真偶像,
159,凯莉葩缪葩缪,"卡莉怪妞 , Kyary Pamyu Pamyu", 竹村桐子 ,1993-01-29,水瓶座,B,158,0,B87(E) ,日本 东京都西东京市,歌手、时装模特,音乐、高尔夫
160,坂口杏里,"坂口杏理 , Anri Sakaguchi",,1991-03-03,双鱼座,B,168,0,B80 W59 H88,日本 东京都,综艺演员,聊天、邮件、摔跤
161,瑛茉ジャスミン,"瑛茉茉莉 , Emma Jasmine", 近藤Emma ,1995-03-16,双鱼座,B,170,48,,日本 东京都,模特,料理、跳舞、电影、音乐
162,木村ユリヤ,Yuria Kimura,,2003-10-18,天秤座,,161,0,,日本 新潟县,模特,料理
163,根本凪,"根本风 , Nagi Nemoto",,1999-03-15,双鱼座,B,150,0,B88(G) W57 H85,日本 茨城县,偶像、歌手,照相、散步、绘画
164,吉﨑綾,"吉崎绫 , Aya Yoshizaki",,1996-06-03,双子座,B,150,0,B76 W55 H80,日本 福冈县,模特,看DVD
165,利水翔,Tsubasa Toshimizu,,1991-05-02,金牛座,A,169,46,B84 W58 H85,日本 兵库县,模特,足球、篮球
166,望月さとみ,"望月里美 , Satomi Mochizuki",,1990-04-14,白羊座,O,163,0,B80(C) W59 H78,日本 埼玉县,写真偶像,芭蕾、购物
167,今村ちか,Chika Imamura,,1986-09-16,处女座,A,163,0,B89 W59 H86,日本 群马县,模特,
168,ふしみ彩香,Saika Fushimi,,1991-09-07,处女座,O,158,0,B91(G) W61 H87,日本 千叶县,漫画家、写真偶像,美容
169,知念沙也樺,"知念沙也桦 , Sayaka Chinen", ちねんちゃん ,1992-01-26,水瓶座,A,161,0,B78 W57 H85,日本 冲绳县那霸市,时装模特,游泳、网球、瑜伽、DVD、散步
170,森下まい,"森下舞 , Morishita Mai",,1982-11-30,射手座,O,153,0,B83 W56 H86,日本 神奈川县,模特,日本舞踊、飞镖、长笛
171,小島みゆ,"小岛美优 , Miyu Kojima",,1993-05-12,金牛座,B,158,0,B85 W56 H85,日本 静冈县,模特、写真偶像,卡拉OK、漫画
172,石田紗英子,Saeko Ishida,,1980-05-12,金牛座,B,169,0,B83 W60 H85,日本 奈良县,自由广播员,演奏、历史
173,秋吉美来,Mirai Akiyoshi,,2000-03-27,白羊座,B,151,0,B86 W59 H85,日本 静冈县,写真偶像,音乐、剑道
174,並木塔子,Touko Namiki,,1981-02-04,水瓶座,,162,0,B77 W65 H94,日本 东京都,艾薇女优,
175,中尾有伽,Yuka Nakao,,1996-09-13,处女座,B,166,0,B84 W56 H86,日本 东京都,学生、模特,
176,田中優香,"田中优香 , Yuka Tanaka",,2000-06-07,双子座,AB,159,0,,日本 福冈县,偶像、歌手,音乐、唱歌
177,夏川椎菜,Shiina Natsukawa,,1996-07-18,巨蟹座,,158,0,,日本 千叶县,声优、歌手,
178,麻倉もも,"麻仓桃 , Momo Asakura",,1994-06-25,巨蟹座,O,156,0,,日本 福冈县,声优,十字绣、呼啦圈
179,阿部華也子,"阿部华也子 , Kayako Abe",,1996-06-18,双子座,B,165,0,,日本 大分县,自由播音员,音乐、卡拉OK
180,彩月みほ,Miho Satsuki,,1988-05-16,金牛座,A,164,0,B87 W55 H86,日本 东京都,模特,运动、电影
181,阿川りほ,"阿川里穗 , Riho Agawa ",,1997-10-10,天秤座,B,158,0,B83(C) W58 H82,日本 东京都,艾薇女优,体育
182,伊藤千由李,Chiyuri Ito,,1998-01-24,水瓶座,A,155,0,,日本 爱知县,偶像、歌手,高尔夫、唱歌、舞蹈
183,トミタ栞,"富田栞 , Shiori Tomita",,1994-02-01,水瓶座,AB,152,0,,日本 岐阜县高山市,偶像、歌手,
184,有坂美緒,"有坂美绪 , Mio Arisaka",,2001-12-26,魔羯座,O,164,0,B80 W64 H88,日本 东京都,写真偶像,羽毛球
185,森咲樹,"森咲树 , Saki Mori",,1993-10-12,天秤座,O,163,0,,日本 静冈县,偶像,写信
186,桐生美希,Miki Kiryu,,1993-12-09,射手座,A,163,0,B90 W62 H89,日本 崎玉县,写真偶像,漫画、唱歌、习字
187,羽入悠栞,Yuka Haneiri,,1992-06-06,双子座,B,155,0,B90(F) W60 H86,日本 东京都,演员、模特,游泳
188,早見あかり,"早见朱莉 , Akari Hayami",,1995-03-17,双鱼座,A,165,45,,日本 东京都,演员、模特,跳舞、美甲、书道
189,火将ロシエル,Roshieru Kasyou,,1995-06-19,双子座,A,156,0,,日本 崎玉县,Coser,料理、角色扮演
190,神坂琉菜,Luna Kamisaka,,1995-09-26,天秤座,AB,160,0,,日本 东京都,Coser、模特,料理、游戏、舞蹈
191,肉球あやと,Ayato Paw,,1995-10-29,天蝎座,O,161,0,,日本 大阪府,Coser,
192,柏木ひなた,"柏木日向 , Hinata Kashiwagi",,1999-03-29,白羊座,B,156,0,,日本 千叶县,歌手、演员,嘻哈舞
193,谷口めぐ,"谷口惠 , Megu Taniguchi",,1998-11-12,天蝎座,A,159,0,,日本 东京都,偶像、歌手,音乐
194,栗原みさ,"栗原美纱 , Misa Kurihara",,1990-11-27,射手座,O,148,0,B85(E) W62 H86,日本 鹿儿岛县,写真偶像,看电影、弹钢琴
195,有安杏果,Momoka Ariyasu,,1995-03-15,双鱼座,A,148,0,,日本 崎玉县富士见市,歌手、演员,唱歌、音乐、料理
